Tumor_Sample_Barcode,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
TCGA-02-0003-01A-01D-1490-08,28.431678646555195,1.3124005287433584,0.0,0.0,0.0,4.262303461512764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38146306091646676,0.0,2.041684158439601,0.0,0.0,0.0,0.0,0.0,0.5154688986267858,0.0,4.198441787703958,1.4005101034062637,0.0,3.304759141671928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167642490894068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3002679987849008,0.6768882482818075,1.781233031618937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688953039552777,1.2046611972089758,1.2650524359727824,0.0,0.0,10.052681793197664,0.7311425157499509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-02-0033-01A-01D-1490-08,16.74799088746601,0.45335268042771615,0.0,0.0,0.0,0.0,0.0,3.804010896141242,0.0,0.0,0.0,0.0,0.0,2.9715171457901013,0.0,0.0,0.0,0.0,0.0,0.0,2.598864859211819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004041682930537,0.0,2.252097400704756,0.0,0.0,0.0,0.0,0.0,0.0,3.865264164513065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8422374884775126,1.30338628290923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47959132767371393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35818901550688,0.0,0.0
TCGA-02-0047-01A-01D-1490-08,20.6601856214027,2.392109521600933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.911874999097383,0.0,0.0,0.0,0.0,0.0,0.0,2.7666426121802083,0.17198313866424775,1.8958358642251578,1.1424958388626314,0.0,3.411243846206858,0.0,0.9794726438534583,0.7242364797595506,0.0,14.507628978533145,0.0,0.0,0.0,0.5796613818761884,0.0,0.0,0.0,0.0,0.0,0.0,0.581041239125211,6.346459384279146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1148394477288985,0.0,1.3620532854305272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879792103746901,0.0,0.0,12.613112506498414,0.0,0.0,0.0,0.0,0.0,4.629438969534265,0.0,0.0,0.0,0.8454879622766278,0.0,0.0
TCGA-02-0055-01A-01D-1490-08,37.83050074345041,0.0,0.0,0.0,0.0,0.0,2.8339636363037335,0.0,0.0,3.943804767716432,2.686785053597245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.057536465257701,8.968716692136105,0.0,1.982040441986132,0.0,0.0,6.143973900735745,0.0,0.0,2.7345190031856026,0.0,0.0,0.0,0.0,0.0,0.0,1.266915549609616,0.0,0.0,0.0,0.0,2.361804358152427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.229791372291197,0.0,0.0,0.0,0.0,0.0,0.0,0.6099670839809654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15296228606097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1687565591385507,0.0
TCGA-02-2470-01A-01D-1494-08,31.558398211556497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4611830740508345,0.0,0.0,0.0,2.3694947591390756,0.0,0.0,0.0,0.0,0.011996143031488396,0.0,15.656302292215345,0.0,0.0,1.3794787010913645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6402530583288333,0.0,0.0,1.1295915829944416,0.09184720897537486,0.0,0.0,0.0,0.0,0.05362871736191508,0.0,1.7374593941518255,0.0,2.0543529612795526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10547571190122558,0.0,0.0,0.19225203036971858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4325939793986096,0.0,0.0,0.3550201492759651,4.09833798250235,1.8216706687551087,0.0,0.0,0.0,4.0757496918647895,0.0,1.728618849678707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1252862236997245,0.2385122096616186,0.0,0.0
TCGA-02-2483-01A-01D-1494-08,17.68014253357972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4814227641729918,0.0,0.0,0.0,0.0,3.1760596004880144,0.0,0.0,0.14878141559304375,0.0,0.0,1.1599285166230653,4.1331648821967555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1941000247713394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.320817968984941,0.0,0.0,0.0,0.0,0.0,12.716857640391128,0.0,0.0,0.0,9.256355736847294,0.0,0.0,0.0,3.951549600467188,0.0,3.3126926816355957,0.43971227656725254,8.237091755235289,0.0,0.0,0.0,0.0,0.7727773937182965,0.0,0.0,0.0,3.8218335644715706,0.0,0.0,0.0,0.6189890234397415,0.0,0.0,0.0,0.0,0.0,2.096728056252797,0.0,0.0,0.0
TCGA-02-2485-01A-01D-1494-08,44.52325775795544,0.0,0.0,1.439339812429317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.268309293639857,0.0,0.0,0.0,0.0,1.9084030720026932,0.0,0.9194367897703202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688775122730809,0.0,0.0,0.0,1.2473877436070975,0.0,0.0,0.0,0.0,0.0,0.0,10.44582362813135,0.0,0.03476794679851419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011862269474722374,0.0,0.8585927588465802,0.0,0.0,0.0,0.0,2.899665561435152,0.0,0.0,0.0,4.6948159472654645,0.0,0.0,0.0,0.0,0.0,1.260357123734439,0.0,0.0,1.5369119080644076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4517688545978842,0.0
TCGA-02-2486-01A-01D-1494-08,32.21079058959289,0.0,0.0,0.0,0.0,4.574012680855223,0.0,0.0,0.0,0.46160224054733506,0.9502093384795096,0.0,0.0,0.8907600758228781,0.0,0.0,0.0,0.0,0.0,0.0,9.944364663246384,1.574462514519718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9057319986502856,0.0,2.0666843655519043,0.0,0.0008913695870780697,0.6218093958057189,1.990715957323069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.682551705269155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-04-1353-01A-01D-1526-09,0.0,0.15954165797046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6319423302341054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7849889157650485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4303666842987178,5.76559274974569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.700357684905406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13553883374667286,0.0,0.0,0.007835797944306895,0.0,0.0,6.715750176189287,0.0,0.0,5.226058233080476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085544670145415,0.6288658235743001
TCGA-04-1369-01A-02D-1526-09,13.172610634893688,1.8160889324109994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.946995617767221,0.0,0.0,0.0,1.4318694112633756,0.0,0.0,0.0,0.0,2.398589747810664,4.448958812963233,0.0,0.3485729109324813,0.0,2.7841669788761676,0.0,1.2853703446172726,0.0,0.0,0.0,0.0,0.0,16.94180120651465,0.0,0.0,0.0,0.3948809903438633,1.065340668992468,0.0,0.0,13.424338463340458,0.0,0.0,3.5081444823246883,0.0,0.0,2.194359454987839,4.062086136143757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6282279110555846,13.57575222317069,0.0,0.0,0.0,9.540670006217677,0.0,0.0,0.12121863125020207,0.0,0.0,0.24306265773688326,0.06573517150066659,0.0,7.684506818252874,3.362036631141562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3655776438132854,4.8992533906383535,7.4944496758874415,0.011043678719665717
