,mutations
EE,156301
AX,140936
AP,125498
B5,112415
EO,112393
A5,105277
BR,98678
AA,92433
D3,87424
FW,57430
D1,51610
AJ,49542
CV,44047
FI,42837
55,40921
EY,39755
BS,36680
ER,35227
VQ,34906
44,34018
FS,33596
A6,32117
E6,31860
AG,31839
HU,31734
DF,30166
06,29210
DK,28340
CG,27031
EB,26649
DD,24696
DU,24029
GN,23813
IB,23531
DA,23176
FR,22850
BF,22357
BG,22172
17,20807
G4,20474
2W,20353
AZ,20202
W3,19518
CA,19302
BH,19275
L5,18567
CN,18485
05,18021
56,17246
85,17082
XF,16816
DI,16333
66,15572
77,15338
D8,15287
19,15253
F5,14989
VS,14724
CM,14648
D9,14360
DX,14349
43,14179
86,14141
78,14107
CK,13907
D5,13394
AD,13334
AN,13025
FD,12810
EI,12807
CR,12739
49,12495
22,12166
50,11972
CD,11598
AC,10841
ZF,10792
18,10788
BK,10678
D7,10592
C5,10445
13,10201
A8,10063
XK,10005
21,9994
WE,9737
OR,9583
33,8979
EK,8901
34,8754
BT,8583
AB,8332
EA,8327
63,8321
60,8201
24,8121
A2,8081
37,8045
BA,7918
YD,7582
K4,7553
NC,7415
EW,7373
E2,7356
95,7352
LN,7178
B0,7157
G2,7117
69,7111
E7,6995
F4,6962
IR,6948
90,6735
DM,6590
61,6539
GF,6373
39,6367
CC,6253
F7,6198
UY,6176
C8,6163
KQ,6103
91,5738
EJ,5690
D6,5631
4Z,5569
AO,5565
97,5536
AR,5525
CQ,5510
NH,5458
64,5429
12,5423
ND,5406
FU,5363
BP,5285
Z2,5006
98,4973
09,4792
23,4713
14,4694
L9,4673
73,4647
MP,4628
29,4621
HT,4617
A3,4558
YG,4460
JW,4444
Q1,4443
NJ,4431
HF,4326
G3,4323
BQ,4237
GC,4164
3N,4116
F1,4043
CJ,3946
WS,3943
A7,3927
28,3917
75,3910
FP,3873
94,3869
IN,3808
38,3776
E9,3745
QB,3732
UF,3713
B6,3710
IG,3694
QC,3683
5M,3666
EC,3636
62,3603
B7,3573
53,3463
GV,3446
AY,3429
RP,3374
32,3354
46,3337
QQ,3328
O2,3232
A4,3205
QK,3181
2H,3138
58,3134
W5,3123
GU,3116
MN,3116
DS,3103
HC,3082
KK,2998
04,2966
UB,2918
25,2916
CF,2909
67,2848
P3,2841
QF,2820
G7,2813
CZ,2807
ZJ,2791
PG,2746
92,2691
2Y,2677
VR,2677
99,2603
YC,2586
GD,2583
DZ,2574
AF,2572
SJ,2571
B8,2563
R6,2556
JY,2554
MA,2553
GS,2541
RD,2401
BB,2370
G9,2359
QS,2349
59,2348
QG,2300
5L,2280
HE,2269
V5,2248
MX,2223
EM,2221
DJ,2216
GL,2185
2Z,2182
68,2168
HD,2156
X6,2145
GM,2131
2G,2090
FG,2079
S9,2068
FF,2044
IH,2034
AM,2004
MV,1991
51,1978
ZB,1971
96,1965
BC,1953
2F,1944
CU,1940
R5,1923
FV,1917
76,1911
DR,1856
IC,1833
52,1818
OL,1817
PK,1807
FA,1805
UZ,1789
E5,1781
ED,1758
KN,1727
UC,1702
4R,1688
HZ,1664
IQ,1636
SX,1632
3B,1622
AU,1621
LP,1615
B9,1615
CH,1595
EL,1590
36,1558
35,1510
93,1509
FJ,1503
LL,1499
DC,1494
JX,1482
OD,1469
SL,1441
SY,1435
E1,1430
DG,1427
B2,1383
DQ,1378
A1,1373
BL,1371
5P,1356
BJ,1351
NK,1338
DB,1328
Z6,1315
ET,1283
Y8,1258
RC,1255
N7,1235
S5,1220
16,1211
27,1204
ZG,1173
H4,1165
MI,1138
J9,1138
V1,1130
KU,1124
HR,1124
DY,1111
20,1082
EP,1073
YL,1067
TN,1065
N5,1044
HJ,1041
C4,1030
SW,1030
CI,1025
B1,1023
3C,1015
FB,1003
CX,1002
MT,1001
P5,995
HQ,987
PE,967
2J,940
S3,939
T2,939
30,929
80,927
AH,926
EQ,915
J2,911
CS,884
MH,875
KL,870
3A,853
26,847
LT,846
WQ,843
TQ,841
ZP,834
XV,831
CW,817
P4,809
41,804
KB,803
LG,800
DH,799
FX,797
42,796
QH,791
E8,782
ZS,777
MF,768
TM,765
AK,760
DW,759
QR,747
FY,743
K7,742
RQ,728
B3,724
G5,722
J4,716
02,707
XU,676
T3,674
H7,668
YZ,668
IA,665
YF,662
UD,648
B4,635
N9,623
IZ,618
EX,610
WK,606
N8,605
10,581
HW,577
L3,573
LD,572
LA,560
V4,555
Q9,553
P6,541
TS,540
HV,533
WB,532
70,531
VP,524
XR,524
NA,510
6A,509
5N,507
74,501
X7,490
NI,486
FZ,485
MQ,480
AQ,473
5C,463
KO,453
L4,450
57,446
GJ,446
HM,444
VD,440
DV,440
XP,437
N6,432
AL,432
CL,431
ZH,429
VT,427
KP,420
GR,419
2L,418
BI,416
BW,408
XE,407
LK,402
G6,401
XX,401
K1,399
KR,395
FT,393
RS,390
HB,387
3M,381
PL,368
XM,364
LH,363
2A,363
SI,363
S8,362
WA,360
RE,346
L7,345
QL,344
IS,342
15,342
RW,339
VN,337
3X,335
F9,334
BD,332
KC,326
4A,325
4V,323
US,320
PQ,319
PJ,319
3H,317
MU,313
MZ,312
KV,312
IE,311
DE,310
MM,303
83,302
5R,300
NF,296
R3,290
WY,289
31,285
EV,284
ZN,284
MY,281
EU,276
F2,275
3U,274
KM,274
79,272
WX,272
T9,272
4E,271
GK,270
IP,267
KD,263
SH,261
MB,258
4J,255
SC,255
J8,253
HP,253
SG,253
VM,250
VB,247
FC,246
PN,243
UU,241
RY,240
HG,240
4W,239
XC,238
J1,237
LI,235
XJ,235
SS,230
UT,229
LB,228
M7,227
YU,226
WC,225
WN,225
WP,225
QU,223
O1,221
RU,218
4G,216
FE,216
ES,214
SR,211
C9,207
3P,207
ZR,204
3K,203
IW,199
ZC,195
H2,195
RR,194
71,194
Z4,193
J7,191
HI,191
LC,190
WJ,190
ZM,190
4T,187
BM,187
X8,185
3L,185
JV,180
XQ,179
S4,179
S7,175
4B,174
R2,172
4P,168
5U,168
ZU,167
YT,166
KF,164
PC,163
XS,156
W2,155
IM,155
H6,155
R8,154
Z7,153
KS,153
3G,152
X9,152
QT,152
4N,151
GI,151
UL,150
OY,149
ZQ,148
WL,147
2V,147
S2,146
XD,144
XY,144
QA,140
RG,137
NQ,136
VF,135
WT,132
MJ,131
M9,130
L6,129
VW,129
HN,128
GH,127
AS,125
DT,122
O8,122
YA,121
T1,120
UE,120
4X,120
DO,120
IK,118
AW,117
VG,117
2E,116
3Z,116
IF,116
RN,114
3R,113
CE,111
NG,108
OE,107
3E,106
V9,106
ZX,103
E3,102
EF,100
81,99
Q2,98
SP,93
RB,93
5T,93
X2,93
RA,92
5S,92
YY,91
SN,91
WZ,90
Y6,89
AT,89
YS,88
FK,87
H9,87
3S,85
P8,85
X4,85
TP,84
XN,84
JU,84
QN,83
WR,82
5B,81
MR,79
YJ,78
H5,76
KT,76
YH,76
KJ,76
2K,75
4C,73
87,72
PZ,71
F6,70
MK,69
MO,68
QM,67
4K,66
XT,66
PD,66
PR,61
MW,61
ZA,60
WD,60
W6,59
N1,58
ZD,57
VV,57
JL,56
K6,55
M8,55
WH,55
YR,54
TK,53
OX,53
5X,52
6D,51
UP,51
YB,50
T7,48
TT,44
OK,44
ZL,41
X3,40
SB,40
EZ,39
ZT,39
W8,39
OU,39
S6,38
WW,38
KH,38
4H,37
UN,37
RT,35
W9,35
V7,35
2X,35
4L,35
5K,35
SQ,33
O9,32
H8,32
P7,31
SA,30
Q3,30
SO,29
SU,29
XA,29
V3,29
MG,27
FN,26
5V,26
5G,24
RM,22
XH,20
08,19
RZ,18
GE,14
3Q,14
QD,12
RX,12
XG,12
PA,11
3T,10
W4,9
Z5,9
