,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS1,0.0002001343498033494,0.0001476779625794684,0.0018093379265395684,0.0006669278322115897,0.01307281099832013,0.6194005365066458,0.037173295358471414,2.8391794110602464e-05,0.007162506596551282,0.3200901725429261,0.00019538226396007325,5.282586788050962e-05
SBS2,0.0011133807735211525,0.0006813547812136266,0.006542609044730849,0.06947155654738375,0.07062614250088778,0.353296713791578,0.06649986624958737,0.00018567367715951848,0.005229355419276995,0.4201349981910941,0.0035521231872970276,0.002666225836270021
SBS3,0.04022538970205952,0.04511048109795596,0.06586015387020543,0.038760624636001544,0.08890682397921246,0.20751234045233252,0.0844409401653054,0.04289119263813017,0.05155636864699455,0.17922956432215112,0.10040687572771814,0.05509924476193328
SBS4,0.0013113779620316213,0.001292180176224504,0.0027516357583494307,0.08486123212980017,0.0008433621744550571,0.8390840115158321,0.011883571997457196,0.00359099924397564,0.0009178857681043727,0.006774040470159731,0.04308611265112397,0.003603590152486067
SBS5,0.04228899197718099,0.046519475576796476,0.06413573954512022,0.03866957737808491,0.09117588025783296,0.20760052225325762,0.09029092059669463,0.04000462596832175,0.053789776986645554,0.1775728903205595,0.09356508965951603,0.054386509479989464
SBS6,0.006100718385792004,0.08171619517999734,0.005187531721447998,0.015342113880083939,0.02905346186229912,0.5525373233396421,0.041135292229165954,7.936027319851477e-05,0.015143742520492687,0.2489547540912713,0.004355449159764037,0.0003940573568448904
SBS7a,0.001467242020901419,0.017053668137285694,0.0022915467462257494,0.0068322138757531915,0.017465119365606487,0.5540550840251971,0.027467154420728807,8.285903718369568e-05,0.014038691392363618,0.35482223068142543,0.003295896159281407,0.0011282941380474246
SBS7b,0.003791241537972567,0.0410966306943619,0.006187550333401588,0.028483388292442367,0.030662518151846303,0.5192080270007344,0.036466733305528305,0.00014190032849845484,0.012663586105662669,0.3088405197697407,0.01160645783322182,0.0008514466465887525
SBS7c,0.04458809589072356,0.049450650836155276,0.06238505344918086,0.04195443180849604,0.10097850769163079,0.19982203546666855,0.09781140613659348,0.03808440761199425,0.057978922123742414,0.16664018119490642,0.0907787664767887,0.04952754131311956
SBS7d,0.04558022158693177,0.046934916965342154,0.06152386507355415,0.03867203598069721,0.08858070253607957,0.2046518772293457,0.091183717532043,0.04149689177819704,0.05849064088512134,0.17574051201604943,0.09787937384251377,0.04926524457412495
SBS8,0.03991513947316048,0.04477592474918899,0.06837261430793903,0.04068088947453746,0.07974191558474979,0.20404174449679366,0.09012124849904626,0.04449934347318921,0.05134587778156394,0.1688072612005145,0.10466812859833684,0.06302991236097978
SBS9,0.04360285839451444,0.048383297286927064,0.06529604706134515,0.0398357000541299,0.09719832628565983,0.20284875651482315,0.09303188297661309,0.041131570215611354,0.05551308653603221,0.1708487748665152,0.09170737427534877,0.050602325532479835
SBS10a,0.00016752626693035625,0.01669928880636466,0.0005431925930541885,0.02139731733029257,0.018527720412036788,0.6508004214393597,0.18137418257793672,0.0014232357870480078,0.007137826865637455,0.08246729356389067,0.01902550149314725,0.00043649286430167566
SBS10b,8.949354702617077e-05,0.008477368078911264,0.00136636856921677,0.01673015550539776,0.02854551863241597,0.6358450071118101,0.06384221666047485,0.0002176556886593455,0.011845658597282935,0.22460772276774638,0.008247749781473312,0.00018508505958485371
SBS10c,0.04348146611205124,0.04840006720040108,0.06347484290780238,0.040542827769698565,0.09166496442452093,0.20472819011390966,0.10075664818656653,0.04182642211044749,0.05632239085008436,0.1667135131556569,0.09076082342417141,0.05132784374468942
SBS10d,0.04422395052816396,0.048629494069295905,0.06268149274907324,0.04080313796132214,0.0892005756107193,0.20369451055366156,0.1009608522073172,0.04305545703112549,0.05632270235293177,0.1650367191725952,0.09256228870644144,0.05282881905735268
SBS11,0.000930355126155053,0.000891975418286299,0.0014247774299759033,0.0008027405283467018,0.0030221939939004947,0.5249792741606217,0.08926084262422614,0.00031578586971028866,0.0009990716729247663,0.3224705235365961,0.0542163063597963,0.0006861532794601618
SBS12,0.03860410877676554,0.04803281755458308,0.051996791034646876,0.03646352547779466,0.10141815186339237,0.202342220292358,0.0884929430922266,0.06517642851848547,0.05328030827968845,0.18213445219064792,0.0854134113652846,0.046644841554126314
SBS13,0.0002724788962223882,0.0003955212860969796,0.0016287688063468407,0.005254283176926239,0.01986386229099421,0.7422280982743211,0.06841757722044486,0.0023174588560238643,0.006264710670520398,0.14055813498342531,0.012483679004499799,0.00031542653417782995
SBS14,0.0008870865025275654,0.002009399551387521,0.002166085738615036,0.03712261395175304,0.03965707940685366,0.7082468594290794,0.03448646838898507,0.0003121277913579749,0.011627362302868096,0.11350883784971287,0.04936802505929397,0.0006080540275657453
SBS15,0.0005756106852099161,0.0015278274040232448,0.002521100048721204,0.016323884248237344,0.01620263059771028,0.6453204215982488,0.02673797596007808,9.125432730808561e-05,0.00660987960946019,0.2799680274061614,0.0036971964374922566,0.0004241916773493715
SBS16,0.04261420088589354,0.047606074915239216,0.05361256575962296,0.039876660016608514,0.10555959841407767,0.20919810810076353,0.0864758421661081,0.03906912815718551,0.05110980096173435,0.18633693739499643,0.08884762195772777,0.04969346127004246
SBS17a,0.032100060882951635,0.03917123327853011,0.05454764897957712,0.03934459272858822,0.1290798531535229,0.2109276625424239,0.07837302312433968,0.04105543034682903,0.06507117631589054,0.21204146479919805,0.0589327020638758,0.039355151784272985
SBS17b,0.0005021211848528515,0.0007163997798278946,0.0013317287605678703,0.0009503336382720768,0.02011769831848497,0.6772539304135983,0.0011849420151230894,0.0022071244110390366,0.015244523349995286,0.27934678402962687,0.0007181314885410366,0.0004262826100708229
SBS18,0.043113203875216936,0.0463522442878766,0.06579343530061352,0.04070168884663066,0.08202140238898588,0.21328965365499766,0.0957897913995113,0.04173287868114052,0.0520653115684058,0.17275653590820317,0.09161996233922386,0.0547638917491941
SBS19,0.03982128015365864,0.04343172098016475,0.0673191452530475,0.03657532950480654,0.09183636643081541,0.2042370494471865,0.08980157212368241,0.02790658045422897,0.0531492479447647,0.20471185286162363,0.09270966664593061,0.04850018820009034
