,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS1,0.00013333498602734634,0.00011108842038477371,0.0010966367980480777,0.0002226373454865811,0.006079074909961526,0.46673213378298756,0.011040886058450057,2.6498210676180097e-05,0.005987703876230435,0.1937925007148921,0.0003534240305255387,5.100399367391131e-05
SBS2,0.0008724581445575149,0.0021052504100797396,0.003924034175871558,0.041982288884761576,0.038601788256763934,0.19985419718100275,0.03940014748484466,0.00013387487989455788,0.0025165952903903593,0.1699767588926416,0.004575194765856027,0.0016177472089189124
SBS3,0.00039069431867648046,0.0004734933644640936,0.000752339772536112,0.00042223306521455093,0.0009254244755186559,0.003797989699600796,0.00046945153983984786,0.00036459845775852905,0.0009411911586102092,0.0011815273564689227,0.0009293602552774328,0.0004996804236872185
SBS4,0.0003485193353268682,0.0005699268539466476,0.012062100282298765,0.011308529142499937,0.13982244819826847,6.826439021934844,0.3224119601419062,0.0011001922068112123,0.13824014134803897,0.6826046383970019,0.26275874515458264,0.0037228541223573845
SBS5,0.00039754160028652584,0.00046855523194356803,0.0006773778235558159,0.0003883554298836859,0.0008554868915357525,0.003790107243313835,0.0004388577318631629,0.00032843909405058544,0.0009055704858170161,0.0010997973717815216,0.0008943820656231502,0.0004630840003045587
SBS6,0.00017766330812112938,0.00041398821545163007,0.002963335190909379,0.028057056750092547,0.028350068818998073,0.8071340344386233,0.06971846371663916,0.00014621977667416482,0.008528071087961869,0.3922118824212543,0.010944613546077283,0.0006015656455583537
SBS7a,0.0011513485684085708,0.014617406361627722,0.0017698127899944847,0.007990343708494434,0.016979302436245066,0.5512894097244331,0.024316626540677285,0.0001301749717811369,0.014875167108518482,0.32539947247442835,0.002160032238057232,0.0013894220568402382
SBS7b,0.0037213779982174008,0.03621647421566814,0.006170124786105497,0.02794354873388404,0.03113523664585615,0.5477886867064538,0.04043095768870597,9.396991983653135e-05,0.011579402018277807,0.2873633445266508,0.013495473386540951,0.0006628128706563276
SBS7c,0.00047816523754733143,0.0005671984847469646,0.0007309038636763173,0.00046134357825258017,0.000982553377001199,0.003940133392313654,0.0005189018594762808,0.00036170198087837594,0.0010311690921166502,0.0012484986080129063,0.0010156792215004766,0.0005053303678818307
SBS7d,0.0004804652658051711,0.0005166147905383119,0.0006728452932906066,0.0004128101443071153,0.0008511455500035626,0.003945044578815036,0.000483517734047442,0.000367151689654899,0.0010493428176171686,0.0011717268225284294,0.0010534257683781265,0.00048395915231624133
SBS8,0.00039970907544062515,0.0004944337326744786,0.0008592211397012744,0.0004758606247222039,0.000935576623661084,0.003374667674594181,0.0005498463908759737,0.0004054203569877592,0.0011135393559439776,0.0013258085916794651,0.0010043488588548984,0.0006164777269853838
SBS9,0.0004574802273763278,0.0005363852529380455,0.00073766190412133,0.0004271382985203979,0.0009351988496071647,0.003837450234684331,0.0004829659538551296,0.0003622006742712814,0.0009569607263571238,0.0011952383237133872,0.0009959957618079036,0.0004790949130782274
SBS10a,0.012882309638171515,0.21215873434116161,0.003399398539808809,0.0035887555451884355,0.026226848083618737,0.4161185705192415,0.08877502366191868,0.0012051387488834593,0.01987355314737092,0.07089569473672473,0.013621517824186606,0.00028675452902031715
SBS10b,0.0005857100627881716,0.01858006683382178,0.0037446035279691437,0.025539936497634176,0.03686476437410214,0.7501243229568108,0.08538898029407929,0.0002473151332320194,0.01229699372048435,0.25745952612384604,0.010808773240368072,0.0002491331019165675
SBS10c,0.0004468826420465269,0.0005330114721401619,0.0007060921547052767,0.00042088497458058545,0.0009211374022238759,0.0036960301687843236,0.0004907660388678532,0.00037218308457619484,0.000986249471650632,0.0012186351827526943,0.0009564051313292671,0.00047837109580416707
SBS10d,0.0005967264560892543,0.0007488188800852845,0.0014704506736830693,0.0006834747106644789,0.002056708642857648,0.8625597454765634,1.3175652559116893,0.0006408803177136818,0.001569591401866567,0.0022848311504630537,0.0011476781027974935,0.0015906021576835546
SBS11,0.0004325534192736095,0.0004922519306352571,0.0006591380163032878,0.00042014399678974405,0.0009789023451107271,0.04940732178282753,0.0006667369793501593,0.00014889991283534176,0.0006539422876095514,0.002180013053086788,0.03321092331997728,0.0003580669434544091
SBS12,0.0003910471532566331,0.0005142592690749418,0.000521785217950493,0.0004224288454056915,0.0009710774501127069,0.0039219602942665785,0.0004854877907346326,0.0005698684320993508,0.0008268163724223571,0.001311955332686631,0.0010254702814283764,0.0004908243827385961
SBS13,0.0002979122802440575,0.0025911346103204844,0.0016094505773533772,0.0026755513366544257,0.02168391548338964,0.7796464801618069,0.06578151047656018,0.0024115148367264178,0.007778418068023497,0.16242992544043403,0.011168316874314615,0.00029339989064060653
SBS14,0.000618636734492896,0.0010792664581939961,0.00094185275250533,0.002128196354564151,0.016569177780128515,0.47744724202623734,0.037247080429407095,0.00017084115764007298,0.006613793214082875,0.12376716258031438,0.03139904716567821,0.00038083644804425167
SBS15,0.0007979276463734471,0.0008594516524051332,0.0017257253788124755,0.011109722480814791,0.015628031276694355,0.5530943969285319,0.025689387840163128,7.058375378730543e-05,0.005932581204036586,0.26473375580414965,0.0024091656134532674,0.00037373188952874437
SBS16,0.0004145936663368723,0.0004989342915529523,0.0005790631878768995,0.00039815586181352855,0.0009483815439515372,0.004506982146104464,0.00043073246998216416,0.00032704096257155633,0.0008056403298040912,0.001119035548452397,0.0008396954446952047,0.0004582155274470956
SBS17a,0.00035408848953774824,0.00047157393275160114,0.0006486626328698767,0.0004797217923841485,0.0014634864066017184,0.004741759387310144,0.0005125018745885563,0.0004508789209285278,0.001294479534364834,0.0014436098312809187,0.0011870300787282383,0.0003674017965200724
SBS17b,0.00034353939929740993,0.000572039594470102,0.0010478031958318901,0.0007063658801710437,0.012784445652015277,1.1463815518502778,0.000589522310494431,0.0013825540735884802,0.011501052883064617,0.014408757695801955,0.0012451952394454478,0.00024124088891214608
SBS18,0.00042440912224362277,0.00048789785573992103,0.0007384295588882252,0.00041113625646574604,0.0009120761493195448,0.0035849092502221905,0.0004938716710568202,0.00034067102641501955,0.0010313146904957738,0.0012227758903152236,0.0009044954521143749,0.00045349823012623126
SBS19,0.00037035957130840874,0.0004390144151444036,0.0006876330695867695,0.0003692602421939239,0.0008782679798248111,0.003525739187283386,0.0004388410823948635,0.0002430870050369291,0.000920464074587203,0.001032565717567174,0.0010371206023678313,0.0004259339023409792
SBS20,0.0003679206021834646,0.00045299122350429805,0.002936185602664336,0.0016420852764694141,0.002166698725994131,0.025724746646453904,0.007393105507135788,0.0003853862961817613,0.002476515205308216,0.0017899953233390397,0.013955361879964578,0.000811269323497703
SBS21,0.00027172927597566416,0.0006447447520968129,0.00030837002061240054,0.0014478868914963284,0.0069340956549619965,0.528555057261842,0.0006125896629543962,0.00099002862818377,0.003181820910515378,0.15963559183579934,0.010469597972830112,0.00022807429989435602
SBS22a,0.0002737946956383578,0.0005241546509489967,0.0009609772433541487,0.0008236204596815805,0.0021368896932745557,0.00294060055054324,0.0009111554171925412,0.0006652724050545066,0.0006481096841296617,0.0022978493887498884,0.004840307375106915,0.0007110978953302433
SBS22b,0.00046605662129120393,0.0005472379578803549,0.0007442575413568024,0.0004484742614421256,0.0009623976949782151,0.0037132891431304214,0.0005077643622148045,0.00039172871004684466,0.0009868658515061832,0.0012543772902796919,0.0010489426376040813,0.0005200979847548838
SBS23,0.00033352576367454113,0.000446350661090543,0.0007857873082884848,0.00046055466860289935,0.0008648085016522073,0.003514704849437063,0.0007324987231009851,0.00048514218744928053,0.0014831046560629998,0.0011717259256758194,0.0007034652641551004,0.0003886098081306861
SBS24,0.00029970513791419254,0.0003950252362279228,0.003980626460850322,0.0009544598594423608,0.0014989053892182737,0.0033551623130259854,0.0018682055322288877,0.0003355825029850564,0.001699072805634158,0.0046143325750730635,0.0007239601286102509,0.0025588188574400678
SBS25,0.00040462571000482277,0.00047811276684850526,0.0007455662790349418,0.0004222107649720038,0.0008918805549413447,0.0034568501977676564,0.0004771699424623517,0.0003725189381854167,0.0009622681390979048,0.0011906362587960069,0.0010046854654188833,0.0005284768470848483
SBS26,0.0004184164124450637,0.0004954683978422974,0.0006031315695928439,0.00044722678309833873,0.000900053475122754,0.0034875057514391753,0.00047097789394276587,0.000428934035674561,0.001120470857416122,0.0012758700817498989,0.0009920602345958613,0.0006775462532387786
