,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
TCGA-AY-6197-01A-11D-1719-10,0.15449861559528824,0.0016922717471515708,0.003066726850342304,0.0023967453966912086,0.0037057208943559136,0.18186685068922534,0.004355958416648897,0.005934832525820311,0.0015406711707815627,0.0023185742799678687,0.0025845049826019083,0.0021387054783993395,0.0018913445790026664,0.0048797790448870835,0.002898713190128237,0.0006739469361544743,0.00949899628520222,0.009147987743961018,0.0010069887609610952,0.009773110169390408,0.0622803179190538,0.0038141639300065667,0.004054283326533321,0.004289349719130792,0.0025110337239799795,0.0031416172340707517,0.10163610761293068,0.11712158170668516,0.00228274289339191,0.0017757993941832715,0.013228658714241481,0.003686170676356178,0.0031108792929977766,0.030285862602207357,0.0012598923405862967,0.0013722113887698409,0.0029007883039300327,0.005550667584616315,0.0037869601269740587,0.0039499333322810404,0.003152402569329229,0.0013505571718514199,0.0030234449233775646,0.0021494200982896737,0.003903975260053892,0.0027690072857111236,0.0023238707941601196,0.002646733359177706,0.002274867029609699,0.00356158356001262,0.0016735853658544548,0.007441333064092733,0.005687367249819747,0.014059886069654736,0.003683522996998883,0.00980345252248771,0.0015666614503371252,0.0012742383277988887,0.01060856836350273,0.0021717070449178933,0.0019054039579731164,0.0011269173668202394,0.002351369025830838,0.13695556587019342,0.0016849604787952622,0.002270412353366174,0.002108897878276152,0.00228020674000074,0.005899801197507391,0.0015196286210397744,0.004679376320753394,0.001803997065593076,0.0029601291330429566,0.0034196103157766093,0.002184210172757176,0.002113821940400197,0.0009895390459328968,0.0011084584679909217,0.003968302476190492,0.002086934636507676,0.002982568380277389,0.0032837919967856548,0.003173313547011331,0.0023520808484687778,0.002539698660373011,0.0021212623302642947
TCGA-DG-A2KK-01A-11D-A17W-09,0.05420218163138373,0.32587373187835683,0.003488611761716464,0.0014107934861816382,0.003752430153016904,0.008975039282696485,0.024852517291668205,0.008183369730988125,0.0028412641607901434,0.00243514707586621,0.0027541681665114526,0.0024918289930665784,0.002978266842387221,0.05853513835670667,0.0028162526110569607,0.003303086223206363,0.005590420901908588,0.002862666903076739,0.3290190134696809,0.0024566303485901537,0.007013159005777597,0.0027393717899266,0.002450511565899498,0.0022396543337590115,0.0036127282629736584,0.006063054334852672,0.002746512034502964,0.0023879465991687937,0.0020625270542576706,0.0022663134703071667,0.005429776338791015,0.003850480666789057,0.0029386119830468933,0.0029291888380561302,0.002252540836811,0.0019534829383784837,0.003703008084816168,0.006964884466401697,0.003505028325257472,0.004326780371420053,0.0061122628909878515,0.0019510417133883544,0.0029442453345622723,0.0032959927856628006,0.002732006582082199,0.0027251988575014005,0.005373305011579523,0.004065431418718248,0.0031722391494733264,0.0035874072161802546,0.002971893103217544,0.003684490806032884,0.0026089156491209153,0.02553364778593267,0.0026754644148334053,0.0031183446554958077,0.0026121819453459416,0.0029563574897291853,0.003005924553714281,0.005328843184418298,0.002841209343825853,0.003097347443062438,0.004541454428514187,0.003944245329934897,0.0021132449971009598,0.011993477031168848,0.00286646431159325,0.003578475608045316,0.0027400857648331766,0.001931901879959088,0.003970220915887472,0.0022674532912141413,0.01893245041833776,0.008228877065025262,0.0020565399896373417,0.0034794657160214454,0.0021395946173334516,0.0034050455640357567,0.0036251678559800216,0.0030817988367899635,0.0032364596125677193,0.003414697950509525,0.002732554033355475,0.014028801800694029,0.0114889755578131,0.003968903499037425
TCGA-CG-5732-01A-11D-1600-08,0.19272965305248485,0.0263878506420832,0.022402514900132363,0.01926892461694158,0.023769118176357865,0.039757650358120226,0.03950102870035721,0.02763541756666239,0.016038729027665847,0.015864150716042823,0.018234630666920354,0.020094173783439483,0.01357570421864108,0.028826591725335596,0.018494144821376384,0.011400676713022959,0.02041568417947105,0.02233934339536251,0.02703455777310231,0.021275319398439914,0.027756083937188866,0.021197609416169202,0.018325470203097077,0.03821773387039397,0.021019574355239757,0.022642287331222363,0.022386053526996613,0.021093498665025648,0.017776039920596332,0.017191472869129813,0.021506521235473586,0.030614620299211737,0.02199782422949619,0.024077361147526306,0.01823259633576207,0.01675516161927417,0.02491497857352497,0.025957959464947954,0.02263488843910485,0.019330546619426518,0.016103513343654573,0.01357763011284827,0.02189571507492554,0.020313810236433763,0.027605895505888604,0.017602948939979084,0.025896627161068254,0.022701400186946667,0.021904110158380036,0.022498004669513284,0.017902364508634402,0.019922514687521917,0.027958906356675486,0.00693391053055105,0.01824558833437492,0.022452385411363403,0.018033138313600875,0.015266881731247432,0.020527061293854128,0.028535697335276135,0.020881834850764266,0.02434202956386535,0.019038429183947058,0.020796842503279466,0.03206324347562068,0.010545675951928842,0.020061063051149353,0.019282068228336773,0.019808390529090624,0.016920135667860294,0.02322225246155244,0.01700636811264462,0.021836427844513864,0.03533136479392658,0.01769412540149597,0.019980436955160368,0.013859722421161302,0.019455002219454832,0.023894743674979107,0.0213862746883805,0.020585201630380766,0.022142997747340493,0.021259666398542414,0.036636933770785834,0.022155239354625465,0.024683108121953398
TCGA-YL-A8SF-01A-11D-A377-08,0.27480411236594676,0.044165380378425385,0.05733422551000381,0.017611509099225004,0.05753235585313334,0.06264118112300818,0.04596985605834479,0.04798602223676439,0.05271766517806779,0.05026765964161135,0.05129474818713174,0.0537983980257886,0.03842060146569267,0.07634772887825154,0.05265578698246248,0.02032892102033775,0.056787806050741144,0.05195779723061025,0.040545286568908864,0.04436896873911778,0.06901504093089829,0.05179708266096989,0.06629722343289521,0.045837164653458974,0.055309403286523395,0.0531491149361058,0.051381794446727955,0.049058399485844006,0.04949570788449045,0.053014855284279926,0.06002281279100252,0.05391127636400937,0.05464788683578761,0.05595167386851999,0.05149362727171787,0.05159056094644004,0.05466347078143868,0.0587902682816453,0.057211562505470444,0.06014459989074743,0.06332348196600869,0.057817256156730806,0.05473838049672319,0.0535678352013681,0.05329674190442253,0.04991917214950991,0.06268549647549743,0.05581190899366085,0.057970779150514906,0.05549382842631272,0.054483788944968296,0.055475486093264616,0.04931471227026077,0.012557539429236939,0.04931758717207344,0.05589592164776307,0.05286371187737656,0.047726243745608424,0.047854027540744346,0.04939794761527134,0.05170703996731642,0.050940344765983,0.05137799772606568,0.03956833403245944,0.0497539097115019,0.022975595254905997,0.05244539795634349,0.051810672101200515,0.05029707546080875,0.04909700403498363,0.056624503245238204,0.05175455915416996,0.06956984868776178,0.0858913765347309,0.05088388787310872,0.054191612159083025,0.05885118315260393,0.05000471481502921,0.05359184699507062,0.055115333903048486,0.056494431926357815,0.052965227028424954,0.05252721691517094,0.022771103575189466,0.0593363091932824,0.055064092021031956
TCGA-EI-6507-01A-11D-1733-10,0.16875652676172204,0.00233407644676267,0.0026464870831830606,0.005482074945172327,0.003350023673812484,0.17624736446758169,0.0037019193173196316,0.003547915813248747,0.0020898568560073563,0.0027365316427827063,0.0026743118805586876,0.0020128066350510627,0.0044017382110177975,0.004401374635289351,0.003567532265381778,0.0015265907421333057,0.00711740217715451,0.004848583826152002,0.0018390944459826266,0.038758373205400126,0.345686484526815,0.0024005370289645646,0.004316482083245559,0.0024059743589069683,0.0025847593702846236,0.002612715661507777,0.0335084714851681,0.01713088152627288,0.0014949756653932964,0.0016112289161259465,0.004417295259524482,0.007647926239067785,0.002430968481850622,0.006179912136347861,0.0017252786152904935,0.0012485719853347482,0.0036374756967746495,0.004415327237067053,0.0028158787735660207,0.005115720598163362,0.002276370921776069,0.0018973923182410938,0.0033634610022492207,0.0027371899568929005,0.0029641561672179005,0.003502149230873113,0.002393165667581049,0.0025691587860973857,0.002120914132709121,0.0030765455669065343,0.0018264805112504427,0.004781736728199879,0.005756021639458955,0.013294765120375357,0.004553158385715407,0.00747457001104366,0.002217335048458683,0.0010820027853256863,0.01551190011730212,0.002410118213591573,0.0018517674423734946,0.0012947577418294218,0.003643748062742983,0.03312735217701763,0.0016651096654144108,0.002911601315962699,0.0023807097653536975,0.0021465711926627416,0.008071556052052765,0.0022183056261203425,0.005058205049186769,0.0022971010130312815,0.0023637310584913433,0.004863395616116695,0.0026710262647045282,0.0021339069961102027,0.001266235556244334,0.0011788996876078857,0.0029438822786535352,0.0019442543314732144,0.003143442648142156,0.0034258264684238334,0.0034031077626296186,0.004452601565663183,0.004476999199489246,0.0018663586546237244
TCGA-W5-AA36-01A-11D-A417-09,0.08197259532481306,0.027819366664682668,0.02395812016572884,0.022189459362125654,0.024936690481866863,0.044220427771995606,0.0287951600767897,0.024816666103686973,0.01756033644217751,0.017722057534485115,0.022463604727132887,0.021088630692877076,0.03846474348812348,0.022352209808051495,0.02538591373783714,0.037403376171429054,0.028815097796982683,0.019111666085297747,0.022950644849496455,0.023905414433577143,0.05715236090722878,0.021427435886236586,0.015605665918328387,0.02821200880878618,0.039142555586832016,0.027178275494135467,0.023624051011390593,0.022254469656256548,0.017116472081700036,0.01782971820469135,0.03187220165525335,0.03205785117918059,0.023679853857121028,0.019281086456500243,0.019945872523860438,0.022049819477726832,0.033480911084998406,0.04003358186737654,0.0228319946093513,0.031939619466675256,0.020712872011826578,0.020775594625181856,0.020601654572595777,0.035158237407236434,0.022579930216302266,0.024480223835005838,0.026721822518754625,0.02775237044503598,0.026093690121479354,0.023178854940751982,0.02091211081235417,0.02611679030775717,0.018460764750565437,0.028885087094192165,0.021879084163107496,0.02032661144750082,0.021802769604397143,0.023927560153681107,0.01946512977988086,0.02599979394787219,0.02612797506673941,0.04025022385287692,0.025011481516976637,0.015273546128925777,0.019664262651948122,0.017473097276956787,0.02076296623629202,0.025968586172753747,0.027981660321834762,0.01655747753013446,0.03722458425570938,0.020312437482240493,0.02819477067904677,0.025397667514431246,0.022087887721740453,0.023612241848533794,0.015886489764555974,0.03404378335353311,0.02296877025711681,0.02113344215272776,0.023410998108038008,0.03049245172051395,0.02171282906928715,0.012433790962458228,0.02015549283006055,0.021591168006804363
TCGA-2G-AAKG-01A-11D-A42Y-10,0.0791612766347543,0.039034541397423905,0.05238932640155901,0.032283655009903336,0.05611498206457089,0.06416856887731444,0.04301893956895272,0.04446868059602492,0.05088289359996079,0.05036253614488469,0.05264468909825165,0.05092847862490325,0.033788821037264806,0.06772435054944131,0.05101541157214066,0.020151745065764143,0.06950673998728023,0.05728674341026616,0.038801173086454505,0.055965133430641446,0.0680253205623275,0.05379918722942439,0.0813457456254712,0.044605522665830934,0.05017873270207885,0.056706891453880116,0.061517048278943484,0.050049567935311755,0.04733151510096048,0.04760510052709571,0.07710277433009928,0.06031152278839451,0.053238026712937196,0.0530568393620128,0.04826011713521763,0.0454417226343814,0.055000622420272816,0.057564723182828716,0.05696148372214621,0.05675136078901059,0.047109018009305434,0.044851040852946625,0.06023316611912101,0.04827907314967656,0.057671519199737745,0.04990437201603178,0.05029028245305391,0.05266800046027738,0.049574506920980754,0.05481254377191829,0.052912932012469875,0.07195902734546833,0.0545683286768119,0.005785682313177988,0.04619975420190653,0.05842298266926372,0.04558958398084883,0.04346479058253615,0.04487406604502464,0.055479256398467756,0.05256164461332494,0.04569486429981014,0.057974729440310444,0.03992162551871644,0.05316446474247842,0.017554901711837045,0.05027490929166792,0.04825129286935676,0.052435674170228375,0.046142646852813794,0.06307008541961275,0.04943314056496349,0.0577032978201113,0.06971008906799185,0.05436046218578053,0.049967834256168756,0.04894234826265948,0.043962668418123185,0.05252353879458031,0.05514668923381249,0.056219910220355135,0.05455926302052932,0.057301280953506534,0.020578216734383155,0.05492701750820183,0.05569357671346807
TCGA-50-6673-01A-11D-1945-08,0.13151371789874583,0.028832344079205784,0.026689489724521873,0.027332021770505224,0.028143665219840172,0.0478875248507124,0.029597449323583033,0.029299822910825758,0.02460356508827166,0.027752650438595653,0.023026555362520615,0.02313460066654332,0.020793599102151648,0.025178771551285815,0.0239162453103982,0.014942320660694343,0.02812888599961804,0.029069252118614632,0.06230619936886435,0.021745893646508353,0.043108031762131946,0.026503145686368284,0.03696052363021225,0.020456859160318544,0.023242044466813022,0.02745136473668916,0.021246547364030244,0.0327889487948591,0.019062617330578555,0.019680969870578827,0.030081391515014568,0.02532096774312341,0.02446289723620207,0.031492983004162,0.018896428185976574,0.019577828560955718,0.02467080493334782,0.028617431622398076,0.02514637346305589,0.025707538526174557,0.030832448787671548,0.02055595271341561,0.023825731514040608,0.0226468265724826,0.02807938883143968,0.020955432576665767,0.027985776585645064,0.027566532709557078,0.026612461251349147,0.027262737919654507,0.024896939216263982,0.026231289346377,0.030928449668825415,0.009831694127506374,0.019587060142174182,0.02883972398638306,0.021366391394901225,0.02512987053393158,0.018350377625749748,0.02596600795703737,0.025474531773714233,0.023287276914072053,0.022688566758267754,0.03861625443624039,0.03746753470050335,0.01991517983121912,0.02558073799521357,0.025093745379537607,0.01993966583107774,0.01945483198641957,0.024871292461105643,0.023610084848169947,0.02803192926524346,0.03560094119786598,0.024022761504829106,0.02395183692202505,0.018188118439709165,0.024016083046296748,0.026583450336248544,0.02356609033960148,0.02526457711470322,0.02315342702371729,0.02789036032459198,0.013069101708750605,0.024744906197719494,0.022674152509762572
TCGA-DJ-A3V2-01A-11D-A22Z-08,0.16058360310183217,0.13434148617535197,0.17663406668786313,0.031509617759928554,0.17474609450027762,0.10395568253319402,0.13128276468855202,0.12856397979569265,0.1676570174846906,0.16709271618808752,0.17892701769289845,0.1694468677612532,0.11778183083951642,0.10304225252596096,0.17138705522123138,0.06627033046007547,0.1897329777104388,0.16729557917727148,0.10746232266512153,0.12351312110705034,0.12064844072456597,0.17088668190561201,0.16604792468998264,0.10545118928187011,0.19257640004333668,0.17885996008896893,0.16700055322391502,0.12388657709791943,0.185815523140159,0.16928114233843025,0.19433607775838868,0.1792826494709329,0.19426752525506108,0.16708692181531326,0.17058634997644445,0.15558290584223,0.18873677114792103,0.1958962036993082,0.19500771710903625,0.18663986325366763,0.1681679845404902,0.16917654730117807,0.17828776281621653,0.18124136334462185,0.16765030910339537,0.1700159623084071,0.17175064471906223,0.1797898879920056,0.17250309688203982,0.17477399630118087,0.16800447150512363,0.17980652552245974,0.16940420012478288,0.04451045417343131,0.15646753945541947,0.1711159514639123,0.17207783722687875,0.16576464774919566,0.16700935755473956,0.18197298367821002,0.1697236488857532,0.16838247331712816,0.1694508146478634,0.07393853192979431,0.17345386783019065,0.07002822275687542,0.17258177078653505,0.1806512527705559,0.18595931749830755,0.16649397444882888,0.17354209503811985,0.16776791819670459,0.17234284431160904,0.19214636108921881,0.17023478910460632,0.17450064202759413,0.1657183803316341,0.1664240017361452,0.17724080378369517,0.17179661007371347,0.17658825771943748,0.1848532267410032,0.17373836824522726,0.037965311145982485,0.1720287864294258,0.16782588712277233
TCGA-ET-A40T-01A-11D-A23M-08,0.07980383942659525,0.17956633116395226,0.048449295727874785,0.011200543248604422,0.053907691939323384,0.0544316134269042,0.060484741646242145,0.043485283759255804,0.04465145816417892,0.04410388199003967,0.04468295948373221,0.045093977377163814,0.032283270563095885,0.05266143615735005,0.0453926474774894,0.01625911736162449,0.06165664186240335,0.04454193693979537,0.04055135625470493,0.03641743018887033,0.050480700829862286,0.0532978664498602,0.04209770117976117,0.029544054340558776,0.05293037200452785,0.058615676221474705,0.04970156558802057,0.03681075055173922,0.04259451750197123,0.04505688870659264,0.07385247353001231,0.05144972121294303,0.048418898627502205,0.04530529880698404,0.04711047397191476,0.0402875325231564,0.05146940591736891,0.06919810003401666,0.05099535194480094,0.060031635439381725,0.04556460896330226,0.04298698340237264,0.04784980286514473,0.047605149651857116,0.045071754962714546,0.04413037547196557,0.053769930927579986,0.053908179586294964,0.04909883005424388,0.05081144946931704,0.04725516603678295,0.062712548008713,0.042424029639962904,0.020612051424909728,0.042401545078830045,0.04606056675134701,0.044481682828497154,0.04189630275207138,0.042446688740816654,0.04603250159561733,0.045497511990064826,0.04306840674384656,0.04651959165608731,0.025880620783341288,0.043409860382143235,0.06667860444123747,0.04701768755788994,0.04989678498702321,0.04743754647012795,0.04253266500938637,0.05976942359052839,0.043692649702474495,0.0611332026804395,0.12120690995272368,0.04596443208704313,0.04859561291626789,0.04221280434669534,0.04488065409777436,0.05239497380081804,0.04722276092347494,0.05125260285592096,0.050855594664742716,0.04585870740885192,0.026591383646188908,0.06938575901349782,0.054639068454543825
