,unique_tumors
BH,148
DD,147
AB,141
BR,135
CV,132
AA,132
06,128
DX,108
HT,103
EJ,97
EE,95
DJ,93
A2,93
55,91
DU,90
E2,86
2G,86
EM,85
OR,82
A8,81
13,80
EL,79
BP,79
D8,76
D1,75
D3,74
CN,73
B0,72
24,68
AR,68
VQ,67
AX,65
HC,63
AG,62
C5,59
B5,59
E9,58
VS,54
CR,53
B6,53
61,53
EB,53
DK,52
17,52
XF,51
ET,50
85,50
C8,49
L5,48
S9,48
44,48
QR,47
FD,47
CJ,46
KK,45
G9,44
FG,44
12,44
BJ,44
AO,44
D7,43
77,43
AP,43
ER,43
A6,42
BG,42
A5,41
CG,41
EY,41
29,41
A3,39
14,39
AN,39
LN,38
IB,38
19,38
56,38
CQ,38
AC,38
CM,37
EW,37
BA,36
66,36
FS,36
WB,36
22,36
HU,35
BQ,35
05,34
DB,34
V4,33
50,33
86,33
CZ,33
AJ,33
ZF,32
28,32
B8,32
V1,32
78,32
A7,32
G3,31
CH,31
CC,31
CD,30
D5,30
E1,29
23,29
A4,29
49,29
HZ,29
G4,28
04,27
YL,27
EK,27
P5,26
VD,25
DM,25
BS,25
97,25
BF,24
ZG,24
KL,24
76,24
25,24
63,24
FY,24
60,24
ZB,24
J4,23
32,23
OL,23
BT,23
DA,22
2Z,22
43,22
EO,22
E7,22
EA,22
CF,22
RW,21
QH,21
GN,21
XU,21
34,21
2Y,20
TM,20
33,20
CS,20
X7,20
TQ,20
D6,20
IG,19
AZ,19
UF,19
KN,19
MP,19
E8,19
AF,18
W5,18
09,18
GM,18
LL,17
21,17
FB,17
3A,17
WE,17
3B,17
XE,17
QK,17
EI,17
IN,17
27,17
2J,17
B9,16
62,16
UZ,16
NC,16
VR,16
36,16
F4,16
39,16
DH,16
4Z,16
D9,16
91,16
18,16
75,16
FI,16
ED,15
ZJ,15
S7,15
FR,15
P3,15
UY,15
DE,15
J8,15
BC,15
AK,14
G2,14
FU,14
WC,14
BB,14
N5,14
5P,14
XM,14
KO,14
CK,14
HW,14
G7,14
RD,14
HD,14
FE,14
69,14
SX,14
A1,14
K4,13
DS,13
F7,13
IQ,13
TS,13
SR,13
AD,13
37,13
FP,13
R6,13
98,13
VP,13
BK,13
JY,13
GV,12
KS,12
F5,12
26,12
95,12
DC,12
4V,12
73,12
DW,11
FV,11
KC,11
2H,11
64,11
38,11
B2,11
X6,11
MQ,11
GC,11
QQ,11
GU,11
Q1,11
NH,10
VN,10
59,10
58,10
W2,10
GL,10
CA,10
XK,10
CW,10
41,10
FF,10
S3,10
2A,10
YU,10
AY,10
DQ,10
GS,10
J9,9
94,9
20,9
10,9
B1,9
FA,9
LK,9
RC,9
HE,9
67,9
QT,9
IR,9
02,9
KM,9
MH,9
Y8,9
DI,9
JW,9
NJ,9
W3,9
CE,9
P4,8
DV,8
3H,8
CU,8
VM,8
UB,8
16,8
M7,8
N8,8
FX,8
SP,8
WK,8
30,8
B4,8
ZM,8
HV,8
IA,7
V5,7
ZP,7
DF,7
90,7
WY,7
FZ,7
PG,7
93,7
L9,7
IM,7
3U,7
MA,7
42,7
XJ,7
R5,7
EX,7
EP,7
FC,7
NA,7
E3,7
AQ,7
FK,7
RY,7
AL,7
AH,7
LP,7
MT,7
HF,6
H2,6
N9,6
KQ,6
O2,6
N6,6
SC,6
DY,6
F2,6
96,6
99,6
68,6
B3,6
B7,6
SI,6
CI,6
46,6
UD,6
E6,6
XV,6
74,6
ZN,6
ZH,6
2L,6
GF,6
GD,6
2F,6
FW,6
52,5
J2,5
US,5
UT,5
ZS,5
LD,5
KU,5
VF,5
5M,5
3G,5
MI,5
YZ,5
4X,5
K1,5
MB,5
KB,5
XR,5
3X,5
KP,5
YT,5
PK,5
UC,5
DZ,5
BL,5
R8,5
RP,5
NK,5
F9,5
DG,5
CX,5
FJ,5
C4,5
F1,5
SH,5
HB,5
H7,5
